start,end,active,decision,annotation,start_0,end_0,acoustic_jitterLocal_sma3nz_before,acoustic_shimmerLocaldB_sma3nz_before,acoustic_HNRdBACF_sma3nz_before,acoustic_duration,acoustic_energy_mean_before,acoustic_energy_std_before,acoustic_energy_min_before,acoustic_energy_max_before,acoustic_pitch_mean_before,acoustic_pitch_std_before,acoustic_pitch_min_before,acoustic_pitch_max_before,acoustic_energy_mean_after,acoustic_energy_std_after,acoustic_energy_min_after,acoustic_energy_max_after,kinect_spine_x_speaker_before,kinect_spine_y_speaker_before,kinect_left_hand_x_speaker_before,kinect_left_hand_y_speaker_before,kinect_left_hand_z_speaker_before,kinect_right_hand_x_speaker_before,kinect_right_hand_y_speaker_before,kinect_right_hand_z_speaker_before,kinect_head_to_robot_speaker_before,kinect_spine_x_grad_speaker_before,kinect_spine_y_grad_speaker_before,kinect_left_hand_x_grad_speaker_before,kinect_left_hand_y_grad_speaker_before,kinect_left_hand_z_grad_speaker_before,kinect_right_hand_x_grad_speaker_before,kinect_right_hand_y_grad_speaker_before,kinect_right_hand_z_grad_speaker_before,kinect_head_to_robot_grad_speaker_before,kinect_spine_x_listeners_before,kinect_spine_y_listeners_before,kinect_left_hand_x_listeners_before,kinect_left_hand_y_listeners_before,kinect_left_hand_z_listeners_before,kinect_right_hand_x_listeners_before,kinect_right_hand_y_listeners_before,kinect_right_hand_z_listeners_before,kinect_head_to_robot_listeners_before,kinect_spine_x_grad_listeners_before,kinect_spine_y_grad_listeners_before,kinect_left_hand_x_grad_listeners_before,kinect_left_hand_y_grad_listeners_before,kinect_left_hand_z_grad_listeners_before,kinect_right_hand_x_grad_listeners_before,kinect_right_hand_y_grad_listeners_before,kinect_right_hand_z_grad_listeners_before,kinect_head_to_robot_grad_listeners_before,kinect_spine_x_speaker_after,kinect_spine_x_listeners_after,kinect_spine_y_speaker_after,kinect_spine_y_listeners_after,kinect_left_hand_x_speaker_after,kinect_left_hand_x_listeners_after,kinect_left_hand_y_speaker_after,kinect_left_hand_y_listeners_after,kinect_left_hand_z_speaker_after,kinect_left_hand_z_listeners_after,kinect_right_hand_x_speaker_after,kinect_right_hand_x_listeners_after,kinect_right_hand_y_speaker_after,kinect_right_hand_y_listeners_after,kinect_right_hand_z_speaker_after,kinect_right_hand_z_listeners_after,kinect_head_to_robot_speaker_after,kinect_head_to_robot_listeners_after,kinect_spine_x_grad_speaker_after,kinect_spine_x_grad_listeners_after,kinect_spine_y_grad_speaker_after,kinect_spine_y_grad_listeners_after,kinect_left_hand_x_grad_speaker_after,kinect_left_hand_x_grad_listeners_after,kinect_left_hand_y_grad_speaker_after,kinect_left_hand_y_grad_listeners_after,kinect_left_hand_z_grad_speaker_after,kinect_left_hand_z_grad_listeners_after,kinect_right_hand_x_grad_speaker_after,kinect_right_hand_x_grad_listeners_after,kinect_right_hand_y_grad_speaker_after,kinect_right_hand_y_grad_listeners_after,kinect_right_hand_z_grad_speaker_after,kinect_right_hand_z_grad_listeners_after,kinect_head_to_robot_grad_speaker_after,kinect_head_to_robot_grad_listeners_after,duration_pause,next_speaker,current_speaker,amount_speech
1660664348.5460534,1660664349.8860817,1,,not appropriate,9.655,10.995,0.013785140588879585,0.6502521634101868,6.099298000335693,1.3400282859802246,-8.527615529837062,1.550168331125441,-10.519462911828894,-5.599689842166793,223.08739554852602,96.43715434266262,69.12225705329153,626.4468847776325,-9.920031903456419,0.07990882755492745,-10.062326716580955,-9.485316057866159,6.8981577484189714e-09,-0.013674155831443813,-0.14952436405895053,0.15306512152386362,-0.28293794767690233,0.1769594873558599,0.22933002857432722,-0.25714841374809216,0.08903736559964863,3.8439131433934116e-07,0.016252388654551725,0.0788660113860925,0.1086325901242994,0.05733174130979388,0.039199613580066135,0.05059960635840808,0.05295346126542883,0.3084144396640101,1.224009427333684e-08,-0.0035979501246385936,-0.22608371948608585,0.08301628000203333,-0.22132105856174875,-0.00502549897673163,0.194242816848242,-0.2551501689689484,-0.003160124485206539,1.901748946413338e-07,0.025376654952183338,0.051244245628212316,0.08305194721349035,0.058872339601282436,0.08327196684136663,0.0693655252249146,0.06033053082781358,0.26673012637085197,-1.3825096457875305e-08,-8.207870606298742e-09,-0.013352850871162383,-0.004416451094049609,-0.1592810863181721,-0.2321367043916706,0.1600782690015588,0.10460823209094004,-0.28679381757680394,-0.23242236798311997,0.17503408374500906,-0.012184504718884133,0.22893650098717305,0.19851184048761622,-0.2595293600697092,-0.2566292462093968,0.08905318682501913,0.01883293394300914,5.273555427367234e-07,2.0151216463467345e-07,0.012291225161732837,0.023328526517663747,0.07021404631198745,0.06924072011181968,0.10085346321242025,0.08988284188838461,0.05302044329224528,0.11903590589563225,0.03621613581376203,0.05482750897876597,0.06367014121696064,0.04751202728247469,0.04442058009279285,0.038633150880620123,0.40608021811659517,0.3029883915585496,2.4501266479492188,0,1,1.3400282859802246
1660664361.1463473,1660664362.0863583,1,,not appropriate,22.255,23.195,0.007009548135101795,0.44520440697669983,3.58807635307312,0.9400110244750977,-9.254838002235637,1.1959590702372016,-10.427374436269128,-6.007227718896666,168.82944444168527,97.22247568560925,69.12225705329153,600.6402145067221,-10.153019110157112,0.06194021283670503,-10.320367411486862,-10.013243939020533,-2.4379290700899732e-11,-0.010560481526083769,-0.16626266985789478,0.1418669581096623,-0.26331884341303113,0.16784429125926426,0.2287631268960198,-0.25808279740715023,0.08653301925413599,5.259788841634108e-07,0.00990560409087355,0.03387740706866196,0.11219523934140199,0.1032661940470433,0.03210924813919006,0.03573423091126213,0.04154486507862917,0.3425728038319445,4.785511530058437e-10,-0.002872535403167156,-0.22233390776348924,0.09820577362002976,-0.21887105458246595,-0.009429360973200211,0.19562238985800084,-0.25563439733341276,0.061129030652608676,2.5650478390571336e-07,0.030602050172944303,0.0919480128609716,0.08663500935623812,0.056715382328342424,0.09536802353678231,0.07793572270217138,0.056504799094362686,0.29678907252808656,-4.0941095603314225e-09,5.684961091036928e-09,-0.009960533580088311,-0.002921769353295259,-0.1584907723091409,-0.1978401089799299,0.13556373505662928,0.09791479409709022,-0.2608346431168334,-0.21476350588367896,0.1783344892297569,0.0008616502885022518,0.22595422833788262,0.19705782010704978,-0.25633766274250813,-0.25380489824381075,0.0977714769166112,0.046354952857587846,3.773023753398593e-07,2.3473985826519848e-07,0.011372072951245574,0.020954136084678558,0.030786664468138304,0.08302432675906914,0.09303948595092776,0.10931473602949736,0.04785554041498689,0.06212269925723413,0.030534609538311414,0.10858409822392731,0.0405636453312688,0.05792247518778835,0.03204883421436515,0.046285627414589595,0.260390925699361,0.25808382417773307,3.12015700340271,0,1,5.1300976276397705
1660664370.812659,1660664372.0826066,1,,not appropriate,31.922,33.191,0.016631240025162697,0.8046145439147949,4.810774803161621,1.2699475288391113,-8.469949079164797,1.871241839899512,-10.227903325730987,-3.973439172599249,199.18383109044274,118.01515822057955,69.12225705329153,656.0517685194594,-9.515199192739422,0.8140729132537616,-10.314042723339478,-7.244817628054106,-1.2407179305009134e-09,-0.007698938958588685,-0.15561631052323788,0.142448486808727,-0.28221311432572105,0.16882985351329743,0.2218143100170303,-0.2766891839096198,0.08599341539693729,3.9726130001037875e-07,0.015537582429688888,0.0678883654980638,0.08249704950075328,0.07486730099739691,0.03302917223537415,0.04858104180866177,0.0358608391281522,0.47883821458516673,-1.9251349269202864e-09,-0.006513280267333869,-0.18383710806504722,0.11089515171433124,-0.20901294379918417,0.0013972437912617426,0.2016094060759796,-0.24638252843670716,-0.0861570115044963,2.0276732059853638e-07,0.02186673749141462,0.10471736149959475,0.10488089240566247,0.04362865785842839,0.09077996557546372,0.08025502501127275,0.057143149795698706,0.3334549037067692,4.458857214902303e-09,2.1671292108508518e-09,-0.01104188228757717,-0.0026503735876465943,-0.13990153324431828,-0.22705129309566038,0.12981786896931152,0.10556501072429014,-0.26580417522396194,-0.22805931438870877,0.1694216174553327,0.00011272410235869475,0.2247393417034517,0.2077439427342223,-0.27293889445767205,-0.2480459021313275,0.10454477191488491,-0.04236868118940792,4.382395220020586e-07,2.422828289479245e-07,0.01249026504776989,0.017279587178793222,0.11276675729578457,0.0888211911686396,0.0875963604410226,0.08483978141056027,0.0633305148292205,0.07930080952553999,0.03736138681542083,0.08060940867144333,0.07722322588197135,0.06993087759529615,0.04008113375124856,0.05714443364373635,0.3683848929962201,0.29735109606942667,0.0,0,1,11.01071310043335
1660664374.2926714,1660664376.3626873,1,,appropriate,35.402,37.472,0.009488645009696484,0.6297013759613037,2.811574697494507,2.0700159072875977,-8.462604245264924,1.555365519501394,-10.171946497345509,-4.632428587187666,162.98933667341157,79.5764824723941,69.12225705329153,643.9871211521908,-10.00772047076042,0.061548536082087525,-10.194816643313331,-9.856308578886946,-1.7060019760224565e-08,-0.009198244931700695,-0.12094132767191033,0.10998896698703392,-0.2573129860525766,0.17224302193895427,0.21865318409050924,-0.2762092831849732,0.11935134055747805,4.056498002764561e-07,0.009883619099733848,0.0588507234714632,0.05363897135274053,0.04273671331433732,0.028068717214658426,0.05145042214083127,0.025058322071297615,0.38778527524720835,1.1097119844902158e-09,0.0006265858134919962,-0.2519652818857598,0.06963336030247425,-0.23439994000541245,-0.029151495847855143,0.17496876700582883,-0.2508630768217956,-0.26349719954594303,2.0544469880173202e-07,0.018136599238436586,0.06692595041435602,0.11912003777006033,0.06534792938087403,0.06661344863602273,0.04691932564222288,0.033963477675872274,0.29648588344881577,5.799376285201803e-09,-9.341934958581509e-10,-0.009767596970178231,-0.003961105772227847,-0.13294347674516155,-0.2403554810838021,0.10985471822071366,0.08742337121868739,-0.2580120905613412,-0.2329960690402358,0.1770222121592413,-0.006392412740178221,0.21915407986162885,0.17029488566608814,-0.26140900406993295,-0.2569369022402333,0.11621028261081945,0.00676185727139663,4.878537266957262e-07,2.1521786183748478e-07,0.0153981788391016,0.012284958061285335,0.060087671425544976,0.07013603014755698,0.08134503963598413,0.11450403557588641,0.05358074396322293,0.10182968299898144,0.039837529629274025,0.06173781080856179,0.06780123121886557,0.05041676637265469,0.049995650753766156,0.046227193233575437,0.4939910781781379,0.43516832096471475,2.5132124423980713,-1,1,14.920768976211548
1660664383.6368206,1660664387.1969914,1,,appropriate,44.746,48.306,0.008219185285270214,0.48458293080329895,3.741415500640869,3.560170888900757,-8.714159103532836,1.2152893554124164,-10.418218523756803,-5.323642227498876,214.9172809322704,161.5951512437065,69.36761413170093,966.8622167938536,-10.17565772907643,0.06851631418029794,-10.32096163104636,-9.94402751715268,-1.667819551282572e-08,-0.01028104490332977,-0.15629241389106355,0.14821049565116712,-0.2819012286473565,0.15727552761103922,0.22000670761633398,-0.2627597456490788,0.07635970466150999,4.93078808458552e-07,0.006400662939539068,0.05173377486737655,0.06109240222888206,0.03543603776807571,0.018591279246177244,0.03023122081640713,0.028139889189084406,0.18957000535831775,-9.679117865624858e-09,-0.005693963153744371,-0.24474628746737986,0.10637006946904434,-0.21800196568545402,-0.020264705585048094,0.18356359609804007,-0.2500729198792157,0.046137065925594134,2.3106189895772457e-07,0.020122321038099723,0.07106125913324353,0.13696152723604588,0.1184229210091792,0.11478668687874735,0.06676580904338299,0.04115939847943597,0.3317190856259298,1.4240627643500387e-08,-3.4298817715346185e-09,-0.010869139004287797,-0.001517721258411309,-0.16269027709080341,-0.24862024117348616,0.1589922097185225,0.09626435544389371,-0.28233796754780394,-0.2841578166797462,0.1608678825788927,-0.03254712220624458,0.22810569475943138,0.1780561569096967,-0.27562255272729513,-0.24764724606305508,0.12327738034544987,0.03333888603468043,5.220954215769448e-07,1.7629482212281014e-07,0.01411643591691493,0.014576240273462495,0.07251496569973612,0.06458464571545101,0.10370102028543328,0.13341322539930975,0.06511568016837643,0.10990296551486725,0.0344680726872941,0.1070813564255566,0.06392569660284907,0.045839859738079095,0.06036630104248865,0.05010720863795751,0.38400180968310665,0.34949228127690374,4.293254852294922,0,1,18.480939865112305
1660664400.597201,1660664401.2072449,1,,needed,61.706,62.316,0.0014441133243963122,0.2687125504016876,1.8872345685958862,0.6100437641143799,-9.57894914180147,1.2644967057825172,-10.344326893908775,-5.1321796498382435,180.6134359197859,100.41426132413295,71.12804458875188,592.9228241485198,-10.224202955543976,0.05004344795858557,-10.338072645419134,-10.08531477980334,7.267020652797442e-09,-0.01140615130553057,-0.14510774313736857,0.12700492030390573,-0.26639643949899083,0.16574800990224586,0.22098321655984557,-0.2582517069421847,0.08873235631510568,4.3983337554790506e-07,0.009969547426235296,0.050911078360601464,0.07961538069193158,0.03982074119296516,0.023700824760278787,0.05022745893163947,0.04338328208194194,0.3103594286250012,-2.52906282654526e-09,-0.006549154754180476,-0.17900251801420042,0.09306300193344966,-0.19066060188097383,-0.018653553350698245,0.18803445495953067,-0.24529459292964004,0.06437041864378869,2.547676624759875e-07,0.019268215003646953,0.09205029005237596,0.11688334941122919,0.058976702060611286,0.0701617128330909,0.038635036058587265,0.040947763426002246,0.375253992704794,-4.894190893953781e-09,2.561743129453521e-09,-0.010509748548604056,-0.004485681663216755,-0.15217581205627687,-0.1915496009323752,0.12391823302445054,0.08522607035180721,-0.2692774131158254,-0.2002984628694226,0.15907462753655038,-0.029004686780758234,0.21712811205265867,0.18040114036182028,-0.258983965376389,-0.24522326274684259,0.09393437819505773,0.052677707961434575,4.3355254536366246e-07,1.9367664472727594e-07,0.010457496925810763,0.007603358002243395,0.045710248373620456,0.07529810000730988,0.07221076782125725,0.1140385833711272,0.045458487898955416,0.060366378982129744,0.02901673659512333,0.045431880549746576,0.0490116308197238,0.02011675944339779,0.04059245317532743,0.02526103077569566,0.31690337579387085,0.16058639794921423,7.153855085372925,-1,1,23.137906551361084
1660664411.3474715,1660664411.9700506,1,,needed,72.456,73.079,0.0041433642618358135,0.32497572898864746,2.022939920425415,0.6225790977478027,-9.553972421469325,1.0281423767433102,-10.342077765387012,-6.465654727189069,173.61187323868515,65.22456136163491,69.12225705329153,350.04555750505926,-10.246939696774536,0.05352804011678183,-10.380609431595904,-10.142418450171158,8.89876723742325e-09,-0.009623180055149767,-0.16725951700223915,0.13244236318037564,-0.27677001601655754,0.15595804284455553,0.2215622721911535,-0.2635845108418889,0.08130360673856553,4.849155443455134e-07,0.013644269528476827,0.07475186677640315,0.11009738611843765,0.06117652541383941,0.029100962957693245,0.053214589210031915,0.033977563203519544,0.3591870144813238,1.1885471370539384e-10,-0.00543413603027628,-0.2425610498566014,0.09631080924913249,-0.22299856878414495,-0.017182432883855323,0.1897582840675601,-0.24875463534243838,0.029041497557538345,2.2524184548941666e-07,0.0179621121477707,0.0718802762949319,0.1214349240254886,0.05144863052554682,0.10911171615415999,0.06559312307054524,0.05618921494067976,0.36628669230018135,2.5977067378888817e-09,7.48790178652137e-09,-0.011501312475238142,-0.006326515829863315,-0.16594827243136792,-0.22106568636829677,0.14075758187403017,0.14325860598059428,-0.2744106459580979,-0.218071631021618,0.15918500369865743,-0.0134450435067163,0.2258896111400105,0.1983355760552532,-0.2637533162161284,-0.24763266933640488,0.09607447412183824,-0.018543046444383177,4.84490005335241e-07,2.5750700152666815e-07,0.012381803846481174,0.02415604105264856,0.11165318510395944,0.1252263635027583,0.11796420323151297,0.17330072338261618,0.08428833350519299,0.15350490208451795,0.034668103413294106,0.04831610171096799,0.04685131906138719,0.054454834280547336,0.05815551534226057,0.03734529084093976,0.467061323107458,0.37869816830944913,4.577609300613403,1,1,24.420421600341797
1660664416.5476599,1660664417.517601,1,,needed,77.657,78.626,0.0,0.0,0.0,0.9699411392211914,-10.192502938267728,0.3147606222007574,-10.613210489759012,-8.201842478393761,155.08469916962778,175.80143513765842,69.12225705329153,1489.8128732175114,-10.260636274535445,0.12886199985969693,-10.491007212869844,-9.827284830682974,-3.093667111689078e-09,-0.009752420397202961,-0.2537328149947975,0.10191889435416404,-0.3534982046729342,0.17687813244353884,0.13370419400754632,-0.1998203921034112,0.03453174810744327,3.680066150406775e-07,0.01595581209943223,0.05481753549629708,0.10411454472425115,0.041646311039092894,0.08513668336346558,0.12742848375148028,0.15703750794106136,0.3279026228270392,-3.477772193883147e-09,-0.0037200976208645133,-0.23544261558631976,0.12182070503263852,-0.25014682416158324,-0.014487870486985407,0.19335405291159763,-0.23773553704551,-0.0012745911631659472,1.9701220936030959e-07,0.01782825132087381,0.11956044758401264,0.16487908756669994,0.17089768528805194,0.04013671714951334,0.05618884955962991,0.03423898698274553,0.26299720083556544,-3.84487907832698e-10,-7.318948610251168e-09,-0.010395671610956458,-0.009943650321445225,-0.12850541665342136,-0.20641843064008147,0.12228180052900775,0.10246573839668625,-0.2844250966978564,-0.19931547138215752,0.14265934576294023,-0.009531071550641503,0.09600367515970433,0.17992292972330737,-0.1203160954154143,-0.23963603093930538,0.03519274006323606,-0.006616378577249601,4.924122827443767e-07,2.4037083848313557e-07,0.01889787369032667,0.02191246101706666,0.24850806136151435,0.11570214811480399,0.14007463575547305,0.14990318397003302,0.194362483861221,0.08977749499813821,0.13529978171792015,0.08131008791034507,0.11928439036142859,0.06720113630324573,0.09584079153296807,0.04507266319746173,0.27051508688985865,0.37910648491539756,5.5653369426727295,-1,1,25.39036273956299
1660664430.5211642,1660664432.5626223,1,,appropriate,91.63,93.671,0.020745811983942986,0.7589514255523682,5.550122261047363,2.0414581298828125,-8.353554531789378,1.4830357896035526,-10.203251127143258,-4.693079536177778,194.36956894109795,111.98123289943929,69.12225705329153,1022.8755777928938,-10.106916611471302,0.05509422579878062,-10.234324246123647,-9.999865425148204,-4.146593299180517e-10,-0.015020025893460277,-0.1468551567429978,0.1306249485694048,-0.2611216330571848,0.09506385080530869,0.17259467161503475,-0.23415488997948608,0.06524267866766431,3.289672174992175e-07,0.006850016343245997,0.023666965131700805,0.05803190441199717,0.026706967112861704,0.03534518532641299,0.046689838752840156,0.02532877614207341,0.3710564899736184,-3.3901108604937926e-09,-0.0014887946124719203,-0.24905739226871168,0.11952400943129327,-0.23916872318625007,-0.02113304944982062,0.18091375531067885,-0.23313292392488041,-0.010360594215795304,2.6061823461519417e-07,0.02460088610629027,0.05237967390662223,0.13393493592723787,0.07822538043765453,0.10497485319551741,0.04112771786104212,0.05199652510520596,0.21667260101570496,-3.141125445090421e-09,2.2454623304115915e-09,-0.014627596283398731,-0.012356085600031175,-0.1399558874920803,-0.26285844189614127,0.12944195007232853,0.11004109725740853,-0.25516111726479485,-0.21784740187709864,0.09201316675811408,-0.015366802313268927,0.17109081257419848,0.1783339433121658,-0.22587236727559562,-0.23715368803845446,0.06888209026933763,-0.0001202659109977461,2.7435378350533057e-07,2.7715026823586795e-07,0.009669484736715373,0.0241191096363708,0.02891904443418198,0.10568636885999803,0.04346572188574228,0.14811780740183553,0.020301365653288668,0.11459386182292974,0.031448833375899224,0.14442665138396876,0.028834410599947718,0.08371095119209748,0.021046654257846308,0.06798058782913928,0.2402075479219756,0.24217704479720722,4.128389358520508,0,1,27.4318208694458
1660664441.2811508,1660664443.3211677,1,,appropriate,102.39,104.43,0.02189120091497898,0.6154918670654297,3.6383557319641113,2.0400168895721436,-8.326078528548319,1.4461301591310654,-10.195116852041867,-5.5441202490506365,163.79672446740364,68.19649139618143,69.12225705329153,528.162229731282,-10.115125545472367,0.07328076393793402,-10.272350348958328,-9.869350603842229,1.7111425052433872e-09,-0.012556517150295474,-0.131307844675393,0.1282308420714538,-0.2541606061321521,0.08516985799769779,0.16665065049393898,-0.23044998841685527,0.05958191161471936,4.704216020968037e-07,0.010941984574196885,0.04978902244140639,0.0723992453685956,0.027770227600594624,0.04142595748357696,0.06961067392676241,0.04549045693106212,0.43270573548448477,-4.98036827907421e-09,-0.011118597081446684,-0.20997180366137314,0.134727391529875,-0.2170398893047776,-0.013069525643685949,0.18894579012906237,-0.2372448189203321,0.017458539428373377,1.6896677763336433e-07,0.018167198255517308,0.17152739250981172,0.10363710506959636,0.13060807698429347,0.08189800672695445,0.06855566595603273,0.04479593261078643,0.2160717902369305,-1.217688175043314e-08,1.8615614676993496e-09,-0.012691062003763558,-0.01173456803548848,-0.13379189885300813,-0.25088226049625423,0.13297993241517503,0.1274317018574079,-0.2528161925035558,-0.23184921483642634,0.09324258829068582,-0.010464945701500371,0.17475531889306264,0.18835394571959252,-0.22558566597860347,-0.2391168761213976,0.07396720750156924,0.017954271929412072,4.2248103359278e-07,2.4869990392335217e-07,0.012080561688459989,0.021280538590908584,0.038194929480382535,0.04888651075030163,0.08114732251354889,0.06652701616334812,0.021308332457302674,0.05388474469774793,0.06827320471668345,0.09189089020791803,0.08903815954209271,0.044234830071239725,0.04976349699790171,0.05003232378025256,0.39342127123870235,0.23258964585588154,2.4155311584472656,-1,1,30.111916065216064
