start,end,active,annotation,start_0,end_0,acoustic_jitterLocal_sma3nz_before,acoustic_shimmerLocaldB_sma3nz_before,acoustic_HNRdBACF_sma3nz_before,acoustic_duration,acoustic_energy_mean_before,acoustic_energy_std_before,acoustic_energy_min_before,acoustic_energy_max_before,acoustic_pitch_mean_before,acoustic_pitch_std_before,acoustic_pitch_min_before,acoustic_pitch_max_before,acoustic_energy_mean_after,acoustic_energy_std_after,acoustic_energy_min_after,acoustic_energy_max_after,kinect_spine_x_speaker_before,kinect_spine_y_speaker_before,kinect_left_hand_x_speaker_before,kinect_left_hand_y_speaker_before,kinect_left_hand_z_speaker_before,kinect_right_hand_x_speaker_before,kinect_right_hand_y_speaker_before,kinect_right_hand_z_speaker_before,kinect_head_to_robot_speaker_before,kinect_spine_x_grad_speaker_before,kinect_spine_y_grad_speaker_before,kinect_left_hand_x_grad_speaker_before,kinect_left_hand_y_grad_speaker_before,kinect_left_hand_z_grad_speaker_before,kinect_right_hand_x_grad_speaker_before,kinect_right_hand_y_grad_speaker_before,kinect_right_hand_z_grad_speaker_before,kinect_head_to_robot_grad_speaker_before,kinect_spine_x_listeners_before,kinect_spine_y_listeners_before,kinect_left_hand_x_listeners_before,kinect_left_hand_y_listeners_before,kinect_left_hand_z_listeners_before,kinect_right_hand_x_listeners_before,kinect_right_hand_y_listeners_before,kinect_right_hand_z_listeners_before,kinect_head_to_robot_listeners_before,kinect_spine_x_grad_listeners_before,kinect_spine_y_grad_listeners_before,kinect_left_hand_x_grad_listeners_before,kinect_left_hand_y_grad_listeners_before,kinect_left_hand_z_grad_listeners_before,kinect_right_hand_x_grad_listeners_before,kinect_right_hand_y_grad_listeners_before,kinect_right_hand_z_grad_listeners_before,kinect_head_to_robot_grad_listeners_before,kinect_spine_x_speaker_after,kinect_spine_x_listeners_after,kinect_spine_y_speaker_after,kinect_spine_y_listeners_after,kinect_left_hand_x_speaker_after,kinect_left_hand_x_listeners_after,kinect_left_hand_y_speaker_after,kinect_left_hand_y_listeners_after,kinect_left_hand_z_speaker_after,kinect_left_hand_z_listeners_after,kinect_right_hand_x_speaker_after,kinect_right_hand_x_listeners_after,kinect_right_hand_y_speaker_after,kinect_right_hand_y_listeners_after,kinect_right_hand_z_speaker_after,kinect_right_hand_z_listeners_after,kinect_head_to_robot_speaker_after,kinect_head_to_robot_listeners_after,kinect_spine_x_grad_speaker_after,kinect_spine_x_grad_listeners_after,kinect_spine_y_grad_speaker_after,kinect_spine_y_grad_listeners_after,kinect_left_hand_x_grad_speaker_after,kinect_left_hand_x_grad_listeners_after,kinect_left_hand_y_grad_speaker_after,kinect_left_hand_y_grad_listeners_after,kinect_left_hand_z_grad_speaker_after,kinect_left_hand_z_grad_listeners_after,kinect_right_hand_x_grad_speaker_after,kinect_right_hand_x_grad_listeners_after,kinect_right_hand_y_grad_speaker_after,kinect_right_hand_y_grad_listeners_after,kinect_right_hand_z_grad_speaker_after,kinect_right_hand_z_grad_listeners_after,kinect_head_to_robot_grad_speaker_after,kinect_head_to_robot_grad_listeners_after,duration_pause,next_speaker,amount_speech
1656404801.0372,1656404801.86725,0,not appropriate,8.951,9.781,0,0,0,0.830045461654663,-10.0257818353565,0.490528821913944,-10.7996143679542,-8.61579285895875,157.600158181199,116.742456231256,69.1222570532915,701.312137888609,-10.0225737765139,0.464598330173498,-10.620553339876,-8.29748074266246,-8.00493011930289E-10,0.01658181501342,-0.167113896693353,0.151104140923989,-0.28808049354766,-0.080453812212834,0.067925889465918,-0.221296825556369,-0.072394531886001,2.83451847297478E-07,0.035332085908743,0.117870237680585,0.18214633010401,0.220539212960875,0.220262297738726,0.158097454953936,0.183658820407975,0.231596284226144,7.88867896096163E-09,0.024831512628528,-0.042852044470609,0.28824095773055,-0.125289087781343,0.111959682858048,0.31202537230217,-0.117891271340105,0.093364150747328,4.67040464618815E-07,0.02138454646227,0.084042894313351,0.051791631640283,0.059172982419079,0.093075974199331,0.072711917350929,0.096841321235031,0.308039674075413,-4.55177994042008E-09,-3.33682505730457E-09,0.037743789302033,0.023772166604534,-0.203661021200404,0.000761024364815,0.018446834469203,0.245053009446948,-0.310869147881706,-0.160502643608842,0.124088647535318,0.094980693654794,0.077217654775344,0.316870634370735,-0.361315282923691,-0.111357741791667,0.045698781496524,0.385152796920916,2.9209477308257E-07,5.15696464130422E-07,0.021961299710667,0.011205075862458,0.093347125827122,0.060175565068318,0.18762984949764,0.068407769063322,0.176673448099497,0.057034316314331,0.316829748522283,0.06256315086063,0.294972321737563,0.066276809202092,0.187375107676206,0.091070958772822,0.447643608155688,0.392613326672538,0.770010948181152,1,0.830045461654663
1656404803.92723,1656404818.08758,0,not appropriate,11.841,26.002,0.009211174212396,0.485283970832825,4.01547288894653,14.1603517532349,-8.47130945182202,1.07109324833021,-10.1597764929648,-5.79584597625396,225.692198243034,182.564256035348,71.1512697487107,1578.12184597982,-9.67708438688623,0.82897805692499,-10.1851274418653,-6.68746614203983,-2.42579381671432E-09,0.018262519887736,-0.161494747389308,0.069868359384807,-0.267809018519463,0.1737891698669,0.102439007430753,-0.357596420340823,-0.017375904667815,2.00186269784461E-07,0.028824521358245,0.16920361155049,0.205785493843914,0.285093925439662,0.202110845253451,0.18725903385737,0.208671220527678,0.286971440872291,9.56516590037758E-09,0.032667127111648,0.072580401352449,0.117948820949981,-0.216046513609786,0.077385113878051,0.319261897189357,-0.126185750984303,0.134524435957509,4.29069157056957E-07,0.028309548329354,0.07211781058472,0.076787018413894,0.063123779336552,0.060160147996836,0.054350291082858,0.060469910894211,0.377835120332007,-5.42810706060856E-09,-4.86187152723685E-09,0.033655962339285,0.032274773510528,-0.15950388125403,0.057722725239246,0.074043723189582,0.132311838494965,-0.28230787678954,-0.221716754004632,0.110578922948171,0.069746921043571,0.133316578816565,0.303046859302116,-0.318777415233818,-0.125073649875054,0.001197838211754,0.159897708575817,1.90094923464643E-07,4.119813437679E-07,0.026734079009657,0.023606743449121,0.213507796940033,0.059493233332972,0.21395279666999,0.093199099587551,0.283988228033462,0.072216316710664,0.622549241312142,0.099897833422929,0.261193991463416,0.070536648474504,0.417023829413364,0.060439669068674,0.29582841333877,0.347362369353104,1.01002359390259,1,15.7905683517456
1656404819.89759,1656404820.48764,0,not appropriate,27.812,28.402,0.0017605132889,0.263291895389557,0.916699051856995,0.590047359466553,-9.7088044101701,0.84891561086509,-10.273496817245,-6.68746614203983,173.724787974618,89.0619313629704,69.1222570532915,406.019840233353,-9.6483958582916,0.512461370715387,-10.2836210278686,-7.36378213099941,-1.06938847383066E-09,0.03663201857682,-0.172717045917239,0.065626365223604,-0.302590629864841,0.122945477260812,0.128737071002696,-0.333145908690701,0.005572540555029,2.69255133154162E-07,0.025029475232368,0.198931494190482,0.194191654948041,0.23587015249692,0.611537901175909,0.254992321347395,0.396179805850209,0.329727088249577,1.83737272260642E-10,0.033534082179465,0.060340148993781,0.130437477854967,-0.222449510338397,0.074333367679573,0.299914978311416,-0.122786635339781,0.161345566263763,3.93743590276964E-07,0.021802647331648,0.069316559154865,0.102130939740531,0.078457549877063,0.094660039397056,0.066605036982373,0.069741978181319,0.381378849454905,-1.70421275568247E-09,2.33929384950068E-08,0.036526792244697,0.030625174064627,-0.211579914868924,0.048145474542346,0.050917234430448,0.128088228030113,-0.332547561917052,-0.203361734165218,0.093987786928517,0.088328419183312,0.131772584750098,0.301472363456423,-0.328369765841033,-0.129679742765642,0.039922396120806,0.165768677408376,2.03329003190303E-07,5.42805982149393E-07,0.025966530096278,0.032862262470989,0.088239750405794,0.075818520653732,0.193416920789304,0.134689811288741,0.125820055840681,0.112943022448398,0.373418894036558,0.080950013435033,0.210663115259034,0.087928123873399,0.276271422180924,0.091681834718976,0.285387551225795,0.345707382291875,1.23060846328735,1,16.801335811615
1656404836.46804,1656404836.92805,0,not appropriate,44.382,44.842,0.002484242897481,0.593657612800598,6.16536474227905,0.460014581680298,-9.17664934467373,0.602762228415095,-10.262021082616,-7.80710709577629,226.056131186753,183.583608340498,72.5978386239103,1794.087388502,-8.99210775472013,0.95857814793772,-10.2328241991317,-6.72034238413514,-1.65134039954762E-10,0.051279963338746,-0.2226086975135,0.156844127428706,-0.288343030679622,0.110407723203721,0.161738079550327,-0.358706820304606,0.23895349263864,2.98862440457598E-07,0.015047109836216,0.105924249660929,0.112775390395009,0.210741042867177,0.081566504689441,0.099747968377291,0.064407905673271,0.517831828687953,1.23205441709066E-08,0.029462026515666,-0.068584089978265,0.208587770612567,-0.094096500580083,0.15516968845643,0.290377659801518,-0.128581743076093,0.356284195880606,6.0657639210236E-07,0.033485468186041,0.205055635214352,0.177501153823316,0.240792179590383,0.259098997276817,0.2356020419698,0.267660547439355,0.459916645315507,3.90390666937174E-09,-1.63642213776043E-08,0.049112924288047,0.02276826774359,-0.208637910818984,-0.034846030861602,0.060611447061384,0.148367331460955,-0.326371350950699,-0.117098010788897,0.129607093780045,0.167908576827923,0.097524199290915,0.256077747025814,-0.377265349385109,-0.158624574196869,0.073558318771148,0.227867407380896,3.2631104524482E-07,4.52736651278043E-07,0.017752438280283,0.027822051431284,0.095385329272474,0.091907861356527,0.186843949048897,0.114576535128383,0.144087510226138,0.217454398249013,0.122095587490004,0.069340433072068,0.152612642839049,0.145370208259117,0.088559067258375,0.071546641395653,0.511091499139218,0.333993180425303,0,1,32.471156835556
1656404843.86812,1656404844.36839,0,not appropriate,51.782,52.283,0.001338091678917,0.129676520824432,1.59003520011902,0.500269174575806,-9.2386556187665,0.865487179482477,-10.4819552168518,-7.32860030994759,201.775081327347,139.03626135425,72.7751205829747,919.947498571589,-9.04132190800327,0.835675671743079,-10.3878421319529,-7.13672436631565,8.78708796913155E-09,0.040730140710067,-0.207980229366298,0.085123171172271,-0.309934535597877,0.118263511467333,0.145681550427288,-0.349447556973495,0.172598613210232,4.62653651332793E-07,0.035574530273133,0.096825361168916,0.19228795076913,0.177775479803512,0.180954066360758,0.113685294613188,0.109998668435329,0.395485915635358,7.93554016942366E-09,0.028167913154134,-0.04058105577508,0.172492561999142,-0.116026562290183,0.156712945548878,0.294812926317455,-0.134148874745662,0.407519847296361,4.09142904557513E-07,0.04773755266661,0.217535685042544,0.200796874857086,0.35725279443252,0.192518925539325,0.143843148641828,0.145786925282728,0.380151653106214,1.12365575088263E-09,-2.43950585001524E-09,0.043538511363656,0.022388686725614,-0.218338762708719,-0.166788215482607,0.060517710604678,0.215878315965017,-0.314241087017124,0.184304480342755,0.102442252866591,0.143543213730867,0.174897067825427,0.2844748091584,-0.352019942311276,-0.145238909744443,0.135552931500519,0.174590862294575,2.68572461051182E-07,4.83447964922625E-07,0.020792721215249,0.055733276061787,0.11645604397913,0.213060832771136,0.158499062866287,0.297807208271025,0.121842879623514,0.26247707079302,0.161108926354537,0.101340545162249,0.160372445594064,0.176338298461486,0.12055361663715,0.165364196469819,0.212650967882818,0.49885002392965,0,1,40.411759853363
1656404851.64833,1656404852.08831,0,not appropriate,59.563,60.003,0.012370191514492,0.60120415687561,2.25962376594543,0.439983367919922,-9.66739552153005,0.457320748533858,-10.3282665401124,-8.65924176069961,169.747095246686,86.433159815467,72.5049368586616,594.585899925125,-9.97086029717844,0.193079307369866,-10.375933784344,-9.30919533536799,6.13659915252374E-09,0.05026011801811,-0.211407811414536,0.106741926464795,-0.313884345125588,0.101734532509972,0.141927323456611,-0.352293528827013,0.156352237057116,2.58741816482294E-07,0.036396592825697,0.073193947772146,0.178154723886766,0.153810056389686,0.180627380251233,0.152074689613761,0.116975506072644,0.578605954773194,1.36824172986173E-08,0.02226625394382,-0.050979187887823,0.268018277410383,-0.054095507109303,0.155815715660628,0.301196173679392,-0.129731919111138,0.40427871192728,5.16504835313916E-07,0.043595501633333,0.150478349213234,0.143307838647101,0.094232321210902,0.118214388053211,0.089910914409827,0.149820217363897,0.359151844511259,-1.36969878987201E-09,-4.8750223902519E-09,0.047414903046163,0.013180731013906,-0.20348952811473,-0.0409609815689,0.101018070093847,0.235349672621794,-0.302440407248169,-0.043716028013466,0.102545031438045,0.154694013769475,0.140901702042741,0.275168063006391,-0.35160389634453,-0.126181925367635,0.059460701774971,0.234603933270041,1.90731934289901E-07,5.55903671397661E-07,0.019061400822673,0.028049634710499,0.114012152475874,0.047021511837982,0.272597921778203,0.065751350159087,0.194975547968639,0.050265795554147,0.254945733720305,0.071504919586007,0.148276767154378,0.077602279038102,0.176275462034726,0.071686332627199,0.376422327860524,0.194765964627345,0,1,48.5716691017151
1656404854.39848,1656404854.95834,0,appropriate,62.313,62.873,0,0,0,0.559861660003662,-9.85515217574811,0.703576164031569,-10.375933784344,-6.80778364917676,193.348147240695,123.808443684248,69.1222570532915,624.203846450863,-10.1667754742783,0.066746971795688,-10.3015726818632,-10.0194680961079,3.9592019798169E-09,0.04960158674754,-0.203831840433495,0.089482224465227,-0.302498686334247,0.094773935892797,0.145293886812844,-0.347072373014417,0.025980497530213,2.90689484498749E-07,0.024635793386775,0.171273327085753,0.197774029379919,0.169682970741506,0.183956792373034,0.1296073074634,0.138693081392595,0.276907759249324,-5.55197753899927E-09,0.019812231506343,-0.060901751745154,0.257006470742193,-0.034117216684753,0.14406794455966,0.267168999716608,-0.123861446981157,0.210780247147436,4.38925808875354E-07,0.033635696003949,0.06588566342296,0.064262500269035,0.031952674424891,0.049976837516628,0.065793137572828,0.075313815402597,0.153904317660025,6.10529918735587E-10,-5.9588627437397E-09,0.048217832512201,0.021973305933151,-0.206098949442844,-0.056079234004286,0.034549223195957,0.237074156145086,-0.324845485985947,-0.040785576935431,0.090480180786657,0.166162470147583,0.151901357410232,0.225220569842422,-0.342491118933153,-0.162509033963244,0.023789769184549,0.163144940414247,3.5274534725736E-07,3.78644749015962E-07,0.017596699396508,0.03835295071573,0.096494354390248,0.087216490499238,0.128024693897488,0.124681456361167,0.106880976277289,0.099017042866894,0.146318845112803,0.137145040314943,0.107873481199775,0.173639802050748,0.122010559306417,0.182922053883075,0.253170396643182,0.212027658315193,2.79577946662903,-1,50.3616065979004
1656404870.61869,1656404893.17927,0,not appropriate,78.533,101.094,0.008565383031964,0.172050520777702,1.50315797328949,22.5605852603912,-9.51130065601181,0.811427164963931,-10.2976440965698,-7.54831098525417,158.577514678519,68.6000474361599,69.1222570532915,356.250888338678,-9.67722297614422,0.436249393053008,-10.3001718708632,-8.46380504443431,6.1247978233726E-09,0.028543870628755,-0.211842604265143,0.101882458312501,-0.313249428096904,0.059080421741075,0.156359742797787,-0.28693588861497,0.136442663374512,3.54002069632562E-07,0.034507067049613,0.080328546019621,0.250802792028669,0.151034713010221,0.35213704182399,0.211529109239966,0.222093995620945,0.446949083876495,9.68556231812338E-09,0.01891373874344,-0.005114237220888,0.192639562270632,-0.02563032566903,0.120728120496863,0.32720956942476,-0.065197676351902,0.244885844690148,4.49586537770253E-07,0.024938215752439,0.09466120949624,0.147087118991,0.087554248257787,0.138691752740456,0.116978633613522,0.133017043554755,0.414682172293296,2.03904035233465E-10,-1.27696842956402E-08,0.049814385066093,0.015105448406372,-0.22509610287465,-0.025458907975481,0.100967407561923,0.101652856932072,-0.290986060321283,0.102114170283273,0.036325887918024,0.17237549419626,0.146615711630058,0.302572937848678,-0.30389120548338,-0.117816988619897,0.078038267835021,-0.011061089840411,2.80627579295397E-07,4.47162528546218E-07,0.020099350460104,0.026548675644312,0.12588997924727,0.094834302037913,0.201149780386073,0.128687669243659,0.153146078894666,0.148669086677725,0.146220829682792,0.115436641849607,0.086757827767976,0.122386690573156,0.131672579462924,0.133068750605985,0.266681402989117,0.290644479065408,0.820008754730225,1,22.5605852603912
1656404916.35694,1656404917.03264,0,not appropriate,124.271,124.947,0.013628272339702,0.181137263774872,0.690294444561005,0.675697326660156,-8.79610217875556,1.53470764747959,-10.579904625549,-5.54129238121284,238.505789838675,269.391730865436,69.1222570532915,1868.10371725461,-9.31015184957888,1.17226763307156,-10.2801098999297,-4.9779128535187,2.77204841026002E-09,0.040826775840381,-0.214673509611261,0.003570963959348,-0.315232205040429,0.090111484296926,0.164220530876855,-0.348235620730457,0.087569834624922,3.06345983584761E-07,0.023766966243536,0.084516600932118,0.199072405929288,0.094368350572431,0.38397683668641,0.117987660667624,0.178123828892269,0.449025597403424,8.24579007493908E-09,0.029306048927722,-0.038701787608689,0.202061256327521,-0.12309179433133,0.153625973278666,0.284245866132721,-0.12058983862059,0.373493822389503,4.60638608863296E-07,0.043134299268578,0.250377457067205,0.24316324873548,0.269669777295447,0.139288724361055,0.178527309657557,0.272722791698601,0.646515266048369,-3.01382354019456E-09,3.0658560076869E-09,0.038579837011459,0.030890144884142,-0.217721483061668,0.016528198041671,0.058788315869535,0.133013933949734,-0.296851540425469,-0.145399649896412,0.07838229697341,0.151868685372841,0.149128363878534,0.266701839740864,-0.342809500253726,-0.151630483857098,0.061128377665659,0.165481059247107,3.14629332094207E-07,4.6404807291239E-07,0.017717783589276,0.032400564124646,0.113087518638455,0.134438791131827,0.31809021465366,0.191218943427764,0.192272644957207,0.139405084264937,0.315462557534851,0.071254772676496,0.161046073964684,0.123108257333698,0.22111399661743,0.060606847459087,0.293976514742653,0.253202165344704,0,1,46.2696349620819
1656404918.82266,1656404924.32486,0,not appropriate,126.737,132.239,0.006203839089721,0.330256998538971,1.98156011104584,5.50219821929932,-8.60897332305757,1.40717618520593,-10.3687246644096,-4.6553090288352,250.793330477288,209.43133872737,69.6841910044043,1147.18170469465,-9.6045019422081,0.430994877934437,-10.4145635986188,-8.12154455708372,-5.11064449496449E-09,0.04027877436568,-0.192180281338242,0.035219555102786,-0.31315475802838,0.067407074304287,0.169256485545348,-0.332583335363212,0.025779915655884,2.09146918544941E-07,0.029644612453084,0.13860080477538,0.200690484302599,0.1504823700418,0.357794037213101,0.208216547742076,0.158365205838717,0.452966111391225,-6.8872925230329E-09,0.032747841497339,0.008214425602728,0.174851187827912,-0.110938127655934,0.136245843059894,0.288023695433532,-0.151919312823031,0.209165665328804,5.03690606285536E-07,0.018159474933777,0.082840455269832,0.154895336599828,0.111156251902288,0.100577194434842,0.111098256753919,0.072746192267546,0.250847368097763,-6.90666583423191E-09,1.46402220100567E-08,0.042539114209497,0.030684385954428,-0.217494443862536,-0.044971021007493,0.06009782169942,0.131057078618071,-0.299483451611835,-0.010439843862104,0.130838055910128,0.160278023613205,0.088450651372981,0.274479344176333,-0.372321487013692,-0.166468464460916,0.102244011754086,0.183109447519719,2.71005020279787E-07,5.00108495082657E-07,0.017983415449059,0.021701616158138,0.094622038867128,0.157618817920979,0.204435447249871,0.186160729831036,0.120114028424267,0.234187546780296,0.295959079870228,0.073668222243917,0.179377786477261,0.110361368307306,0.164983047137108,0.072827125455825,0.385190817737054,0.26334929914673,0,1,54.7919697761536
