start,end,active,annotation,start_0,end_0,acoustic_jitterLocal_sma3nz_before,acoustic_shimmerLocaldB_sma3nz_before,acoustic_HNRdBACF_sma3nz_before,acoustic_duration,acoustic_energy_mean_before,acoustic_energy_std_before,acoustic_energy_min_before,acoustic_energy_max_before,acoustic_pitch_mean_before,acoustic_pitch_std_before,acoustic_pitch_min_before,acoustic_pitch_max_before,acoustic_energy_mean_after,acoustic_energy_std_after,acoustic_energy_min_after,acoustic_energy_max_after,kinect_spine_x_speaker_before,kinect_spine_y_speaker_before,kinect_left_hand_x_speaker_before,kinect_left_hand_y_speaker_before,kinect_left_hand_z_speaker_before,kinect_right_hand_x_speaker_before,kinect_right_hand_y_speaker_before,kinect_right_hand_z_speaker_before,kinect_head_to_robot_speaker_before,kinect_spine_x_grad_speaker_before,kinect_spine_y_grad_speaker_before,kinect_left_hand_x_grad_speaker_before,kinect_left_hand_y_grad_speaker_before,kinect_left_hand_z_grad_speaker_before,kinect_right_hand_x_grad_speaker_before,kinect_right_hand_y_grad_speaker_before,kinect_right_hand_z_grad_speaker_before,kinect_head_to_robot_grad_speaker_before,kinect_spine_x_listeners_before,kinect_spine_y_listeners_before,kinect_left_hand_x_listeners_before,kinect_left_hand_y_listeners_before,kinect_left_hand_z_listeners_before,kinect_right_hand_x_listeners_before,kinect_right_hand_y_listeners_before,kinect_right_hand_z_listeners_before,kinect_head_to_robot_listeners_before,kinect_spine_x_grad_listeners_before,kinect_spine_y_grad_listeners_before,kinect_left_hand_x_grad_listeners_before,kinect_left_hand_y_grad_listeners_before,kinect_left_hand_z_grad_listeners_before,kinect_right_hand_x_grad_listeners_before,kinect_right_hand_y_grad_listeners_before,kinect_right_hand_z_grad_listeners_before,kinect_head_to_robot_grad_listeners_before,kinect_spine_x_speaker_after,kinect_spine_x_listeners_after,kinect_spine_y_speaker_after,kinect_spine_y_listeners_after,kinect_left_hand_x_speaker_after,kinect_left_hand_x_listeners_after,kinect_left_hand_y_speaker_after,kinect_left_hand_y_listeners_after,kinect_left_hand_z_speaker_after,kinect_left_hand_z_listeners_after,kinect_right_hand_x_speaker_after,kinect_right_hand_x_listeners_after,kinect_right_hand_y_speaker_after,kinect_right_hand_y_listeners_after,kinect_right_hand_z_speaker_after,kinect_right_hand_z_listeners_after,kinect_head_to_robot_speaker_after,kinect_head_to_robot_listeners_after,kinect_spine_x_grad_speaker_after,kinect_spine_x_grad_listeners_after,kinect_spine_y_grad_speaker_after,kinect_spine_y_grad_listeners_after,kinect_left_hand_x_grad_speaker_after,kinect_left_hand_x_grad_listeners_after,kinect_left_hand_y_grad_speaker_after,kinect_left_hand_y_grad_listeners_after,kinect_left_hand_z_grad_speaker_after,kinect_left_hand_z_grad_listeners_after,kinect_right_hand_x_grad_speaker_after,kinect_right_hand_x_grad_listeners_after,kinect_right_hand_y_grad_speaker_after,kinect_right_hand_y_grad_listeners_after,kinect_right_hand_z_grad_speaker_after,kinect_right_hand_z_grad_listeners_after,kinect_head_to_robot_grad_speaker_after,kinect_head_to_robot_grad_listeners_after,duration_pause,next_speaker,amount_speech
1657624626.00816,1657624631.33689,0,not appropriate,9.655,14.984,0.005549651570618,0.424995958805084,3.0079882144928,5.32872343063355,-8.71403045503649,1.14188132468534,-10.2729432321589,-6.01614186669826,147.521411648593,63.5514175955637,69.1222570532915,447.111230285695,-9.90351032849726,0.33672520396699,-10.3474434998529,-8.9608588769348,1.69479948695166E-08,0.008150411839688,-0.188279942076934,0.281968313263079,-0.218515783936134,0.035772745165302,0.188731933348304,-0.224725417514165,0.216092633393994,5.04459944128405E-07,0.013177827800368,0.069762215051544,0.123322167088306,0.124777195275302,0.118701687887161,0.113114064573577,0.086722136165208,0.328550388790758,-2.57690120776309E-08,0.042812465238348,-0.186584194535404,0.104512514243949,-0.36580947314915,0.209369336086261,0.274118225089016,-0.178381303322394,0.338327845354174,3.73173875301638E-07,0.018804941182442,0.089253271284493,0.168208649101981,0.070916074443355,0.076474468593057,0.093115522496361,0.079864562427635,0.33720614578342,1.74340593556681E-08,3.8668497679735E-09,0.012299520195163,0.036811466893626,-0.19813531128615,-0.190901045933809,0.293842737681643,0.096770684228472,-0.209691046213437,-0.366888984313082,0.041387448998531,0.218769206371228,0.212311566334413,0.249419282608662,-0.207736428110134,-0.215772839425425,0.222710623810884,0.229616360006715,6.64410757489924E-07,3.81243053432565E-07,0.013829764856868,0.027280379228926,0.065649865191218,0.100821405609381,0.090744437148188,0.179461761778022,0.088518571685254,0.074609028472842,0.127524130951133,0.078134440129494,0.084363523864507,0.106622097691488,0.093716996909658,0.111189991524815,0.314939457204459,0.424926735962861,0.50980544090271,1,5.32872343063355
1657624637.91682,1657624640.187,0,not appropriate,21.564,23.834,0.00384125392884,0.300012588500977,1.59960925579071,2.27018070220947,-9.44572212037914,0.985455015423868,-10.3788712796895,-6.74590281256666,113.852944255672,54.4900451041202,69.1222570532915,320.784134739005,-9.41570378570307,0.884769071730565,-10.4841042002425,-6.37985109769421,2.48315901890851E-09,0.013146625629089,-0.169797023139491,0.308543261688861,-0.218704556382177,0.04923072947371,0.196713979104562,-0.226170370034809,0.235060548062717,8.17323602027139E-07,0.016359364229122,0.080406111737429,0.087678616293834,0.096392685513283,0.10739924923418,0.111019717969071,0.076348766230041,0.368064901531668,2.09792662095578E-09,0.034572453141155,-0.190035376485085,0.035448031970289,-0.419628090151333,0.205294278113974,0.23692737285977,-0.212819933034881,0.386205147111009,2.51389471425572E-07,0.012524740692674,0.04697133345881,0.139752021856166,0.037778167595952,0.109863470772221,0.168822820196298,0.120538550434632,0.299767556993166,-1.20583249478691E-10,2.8839547703346E-09,0.013943900053064,0.031998058027808,-0.200513640462305,-0.190425222341498,0.270092597580372,0.011651480971739,-0.242405777372679,-0.414530522201836,0.030879461003695,0.205084650548929,0.164236084268338,0.249441761580731,-0.254124689061692,-0.198207785231654,0.186703925537994,0.345383188460759,9.03546026673272E-07,2.99952120329488E-07,0.012735257236755,0.009588293412274,0.07540593717378,0.047738388621463,0.142003222309103,0.114545103879788,0.10986906022478,0.023604275357563,0.090470690991632,0.097133072332623,0.140801243618259,0.123274778570185,0.095224252640029,0.104619983072533,0.304558221946056,0.361504899125392,1.15117430686951,0,13.1790063381195
1657624641.33818,1657624648.50704,0,not appropriate,24.985,32.154,0.010628241114318,0.546998381614685,3.71166205406189,7.16885781288147,-8.41397096938564,1.12308822943023,-10.2183085395381,-5.97372609552997,174.980965475926,149.000674596615,69.1222570532915,1256.65394288506,-8.54260947021049,1.45390359429934,-10.190176310998,-6.06763351679687,-8.82816120117263E-09,0.00833464996227,-0.168851663879067,0.302182180675482,-0.234566955683814,0.082392310161251,0.277580593913014,-0.218030779547972,0.138977118248622,5.12042562646845E-07,0.014544321454105,0.04855783219029,0.089227566952122,0.054228921616904,0.104961794910462,0.226874766074776,0.108412439513968,0.326856703869932,-1.29268809724626E-09,0.029136741798752,-0.187016120702237,0.01451671465525,-0.4152077078005,0.210978819359616,0.25298023322077,-0.224381464302612,0.323550226598914,4.00881948196342E-07,0.014661815304961,0.058571793725168,0.109620199877553,0.046788728122169,0.111163956753313,0.106907706585998,0.112627083634168,0.343812109751473,-9.99568338494282E-09,-7.14616897556561E-09,0.00991283024678,0.022382294296891,-0.156401035977906,-0.176004067549237,0.309980135140233,-0.006611867604496,-0.230483837775316,-0.397982886461876,0.090836007226086,0.205943851093972,0.282452777602193,0.26315541134034,-0.211503705072473,-0.218712167673546,0.161470089243758,0.312701786471091,4.89429137946074E-07,3.46213318543695E-07,0.022084786174435,0.011934281762519,0.051468144517412,0.025538052824485,0.088126432746822,0.082291536593972,0.055711449613485,0.024451432367341,0.104737369817535,0.060676344685889,0.166046571448452,0.106104222635286,0.097957504386537,0.064468462791581,0.180066480454834,0.188092485420951,0.763185977935791,0,20.347864151001
1657624649.27022,1657624653.77722,0,not appropriate,32.917,37.424,0.002682752907276,0.212498277425766,1.96391904354095,4.50699424743652,-9.17811723093632,1.04683304012888,-10.5815116670864,-7.3730755158446,145.759332286393,126.880604042689,69.1222570532915,1105.30210210425,-9.86075711479831,0.410116488718729,-10.4748736545234,-8.85747025797565,-2.14693941119794E-09,0.010480429429655,-0.180465222866042,0.281953467570101,-0.234543362141131,0.077569962927032,0.244424138097814,-0.241482104311807,0.174848788902091,7.2442732613035E-07,0.009564343792434,0.031859021656268,0.060993230339475,0.057341039354718,0.076787419571061,0.119679453144534,0.071366352144246,0.221489625790378,-2.52196816118827E-09,0.030667867819037,-0.186837848849243,0.039944313312851,-0.403593466763238,0.176819674001697,0.208381305815748,-0.189668646574336,0.30691638332927,3.50309790876774E-07,0.002744904779618,0.087235941142483,0.081163947773248,0.035621694357096,0.103572478213314,0.123791310468125,0.108186321728973,0.319363463651205,1.92112030020678E-08,-1.40379036710349E-09,0.004842044349699,0.031336007438505,-0.196176842332173,-0.185893396924904,0.272601047913435,0.055613446902796,-0.233260373460857,-0.402975792220863,0.046041116043932,0.199565696607741,0.204945487809245,0.233213790319079,-0.254995155822774,-0.20860056227935,0.304933170787034,0.358861132460122,5.02891280657645E-07,3.00554251822702E-07,0.015803045987956,0.013385523882621,0.069858317885938,0.093242026434684,0.145569448110476,0.179872386482181,0.073296920440811,0.076399970575126,0.075159720871544,0.131960590297739,0.120542566569261,0.208216617050343,0.074619509657625,0.111732708112,0.340180814572079,0.23119114971875,0.311918258666992,1,24.8548583984375
1657624674.50757,1657624675.97763,0,needed,58.155,59.625,0.009521304629743,0.564704418182373,2.02664041519165,1.47005701065063,-9.35960063214563,1.19934652374362,-10.4530426085074,-6.52894083935719,166.072980846869,129.073428361265,69.1222570532915,1043.86887617325,-10.1982518268195,0.090145249422066,-10.5024695236363,-9.9569720514977,-6.12411883570454E-09,0.012443789185759,-0.205097306901131,0.294381628636766,-0.249035454047872,0.030997174155529,0.308151241270729,-0.214674461545233,0.172535707523297,4.55032649307412E-07,0.033829067837276,0.121422506919207,0.122826399890299,0.119578150278281,0.083809459664682,0.092935459432055,0.077353956830102,0.522107807848585,-1.00453245587309E-08,0.021972871504701,-0.199039143299511,-0.009381914369692,-0.41839539244192,0.176721763807596,0.244749585974055,-0.209557769330097,0.363334186850901,4.02241960779814E-07,0.009456278903594,0.058583210993182,0.085568363608492,0.02402175413278,0.065507757657305,0.081737319143282,0.084680595622911,0.27381729165158,-1.02983664069585E-09,1.088046502716E-08,0.0172489220529,0.015877529297214,-0.218055246553684,-0.182961134304209,0.284032663922882,0.029342153370355,-0.27277070436711,-0.426174971911158,0.027914102301345,0.164792879229084,0.31071234464593,0.227330346225727,-0.226808866419012,-0.165740677730102,0.174392993807138,0.268420090598599,5.53607816090876E-07,2.95482057420615E-07,0.024331038558194,0.009723024559977,0.041268204894152,0.06557353510283,0.103264796898044,0.073577250188211,0.090431835683296,0.023544305156772,0.043998279593782,0.087564740624466,0.062892770013089,0.08169270114813,0.058323482812098,0.069969107071473,0.222132320132796,0.189331961760557,0.361780405044556,1,36.0431599617004
1657624694.07806,1657624694.87808,0,not appropriate,77.725,78.525,0.008832815103233,0.792752742767334,7.73931312561035,0.800017833709717,-9.83624703931606,0.330079676472524,-10.2909661379604,-8.93649113432145,243.475397157595,105.543739779508,69.8295356052178,474.923365270243,-9.83085152908274,0.277214651588114,-10.1596125074448,-8.7192209457196,-1.70608427063265E-08,0.014992364153675,-0.168928523011219,0.311801906750656,-0.254677192437464,0.039280224316118,0.319895331611739,-0.211490896947343,0.115115754928352,6.45132638484299E-07,0.021224907474614,0.057336208933459,0.069552961182742,0.062960317350544,0.047598462669343,0.067289590945813,0.059749687798412,0.384812292837872,1.52392675315778E-10,0.020464314859027,-0.184367114775062,-0.01458094828048,-0.390259644107436,0.153146824544448,0.212863847132999,-0.199460960196926,0.300458967390103,2.81385800195398E-07,0.014448921601733,0.097578243170946,0.118203956111775,0.065358329004689,0.139383478570267,0.124186109042424,0.135581926047556,0.328979135761897,-2.17951062251739E-08,-5.26759179062602E-09,0.017436877155361,0.021123466469737,-0.189806540011481,-0.174329287449153,0.312696236933653,0.034302722849903,-0.245070796881231,-0.399564977353988,0.039943392976212,0.163233455270123,0.311487132671328,0.235464772674013,-0.208024741870202,-0.184550555483911,0.258765040699338,0.290751344990902,8.26105022088475E-07,3.78080014057161E-07,0.021109966897499,0.009208214158119,0.058348032332243,0.054790520857933,0.09066728641947,0.132560893190209,0.075920030394977,0.058856446839852,0.058042442978489,0.096434808725178,0.125726433849329,0.097401253381679,0.048520134988026,0.116174129398246,0.518702242428132,0.288908738774513,0,1,39.792088508606
1657624700.30818,1657624701.76824,0,not appropriate,83.955,85.415,0.006444088649005,0.372342228889465,2.6441855430603,1.46005797386169,-9.77484698923042,0.580334021603724,-10.3052801171592,-7.52058608790548,183.806064126937,101.385533036623,69.1222570532915,644.216873787525,-9.58550426641074,0.881155740543882,-10.2961678268819,-6.51649209931472,2.29512965478674E-08,0.016313217931994,-0.208703958756299,0.298752855509717,-0.251970291657102,0.02768207118008,0.29725351073836,-0.220782699776541,0.24829348414576,5.80705949076161E-07,0.011327147314074,0.049028770694089,0.063173438822009,0.051052481815423,0.053141959639128,0.066601242955351,0.037507006445833,0.287120543953105,9.91514611633242E-09,0.021021888830147,-0.188920770705847,0.008869052411245,-0.406769463385011,0.163430241276796,0.224421604437101,-0.197042652346065,0.386867670535915,4.53343394609966E-07,0.009052250701691,0.043880004240955,0.12022585791406,0.049823315716417,0.097586358071524,0.096760200990296,0.089479900374308,0.300418288622785,1.07765156941478E-08,7.05558855963784E-10,0.023669231445274,0.024079763333083,-0.183800572649553,-0.191521521838721,0.30092228425929,0.002888871076257,-0.254007578752446,-0.399141315502306,0.034048198358873,0.158192561730527,0.280992767670988,0.218844545983486,-0.226214058464734,-0.188222191747971,0.183486368159331,0.30255480498806,6.44802269756237E-07,4.17986674321922E-07,0.019152405489058,0.022746131164759,0.07945895236812,0.090692626529175,0.137997918515143,0.144744390215843,0.09414447221527,0.066287301781967,0.089710760999918,0.116383167488608,0.11199460198004,0.15379256480424,0.064365759791612,0.156011750551416,0.474476197849209,0.522263735907305,0,1,45.962283372879
1657624703.41832,1657624720.62867,0,not appropriate,87.065,104.276,0.014322533272207,0.285360634326935,1.76479649543762,17.2103469371796,-9.45316177824425,0.869157533094942,-10.482304363714,-7.49511945885495,157.81032125826,151.702268948876,69.1222570532915,1123.01227460711,-10.1034005449852,0.29947313063071,-10.5548888129701,-8.86349894429158,-1.72229767401238E-08,0.025196907855881,-0.20567634474011,0.290824684301064,-0.278748783519173,0.015382145455333,0.316939800738333,-0.243527145758972,0.046186404674061,6.58167846027102E-07,0.024242555698998,0.048311273681457,0.079421427102128,0.051228773810881,0.048960872302225,0.109172930529135,0.047371289323851,0.333253106340274,-1.27919437766369E-08,0.032572527350385,-0.199749966869145,0.017241415731308,-0.413087393768736,0.206869465752722,0.212533803370913,-0.217806194972396,0.289482987553573,2.87119902762013E-07,0.008963537483988,0.074398969798289,0.082104221899278,0.03122972229173,0.102604181000924,0.18765893712377,0.150392670163966,0.269130051973442,2.06992594122394E-08,6.0397395221324E-09,0.025767391820341,0.033182085019101,-0.222473764038984,-0.199649751019874,0.283933161766115,0.011790843287535,-0.280425641336899,-0.415639959153714,0.014836155624309,0.21751510328531,0.29543125582398,0.253566662571566,-0.244691819036667,-0.200477144643493,0.140433667961218,0.280795328559572,4.64952334896705E-07,2.42178693556105E-07,0.031175919487255,0.014532418930417,0.05442446806815,0.054839665591557,0.108442211577937,0.111670150744871,0.087173870608793,0.028119067424083,0.079681605936716,0.073616485910227,0.068423467587401,0.062091151299229,0.050603460174777,0.086827021397829,0.510715392380916,0.299373060678276,0.760636329650879,1,64.9519164562225
1657624729.41881,1657624730.13956,0,not appropriate,113.066,113.787,0.009831707924604,0.540714740753174,5.75908708572388,0.720740079879761,-9.71185247591031,0.714164857167866,-10.2725557954114,-7.18807098659894,275.061300395157,114.219773271394,69.1222570532915,1032.31844254725,-9.83779731923341,0.431343678357381,-10.3228474667157,-8.75815156213587,-6.72123157576771E-09,0.006083863944337,-0.2049678336369,0.289627844552336,-0.249342268770999,0.007553091952278,0.265762148532396,-0.239821302736275,0.257015370870621,4.16811687076988E-07,0.023981035367166,0.122255498225948,0.092953935281078,0.083125849245255,0.032644334325432,0.091583962456294,0.033195271368128,0.5548556808674,7.64077325335075E-09,0.021399925771046,-0.179541768288209,0.024565639287681,-0.405583913481601,0.17028401244562,0.230472434802523,-0.202862165991084,0.342994283173366,3.35169907670952E-07,0.012704278481195,0.029975840055648,0.120891064097524,0.039626868000574,0.064671074581417,0.053548613130964,0.0442967052004,0.212009724784293,2.16583859843105E-08,6.08337694152719E-09,0.02322618025972,0.021502124405005,-0.210580107088572,-0.200281930883999,0.290572571245031,-0.007047277159594,-0.270705920527881,-0.405984524991053,0.0197178066267,0.228893708115234,0.273737181030772,0.21997074582309,-0.241083448981665,-0.221938967227459,0.386698748833668,0.353072725137355,8.59925933097696E-07,3.22895093084654E-07,0.016663236575421,0.028259829774053,0.104844187875258,0.116662755778322,0.125784526867505,0.147518034224393,0.10882670917531,0.100906235936351,0.061595656772585,0.089808661917095,0.099823663326401,0.089329876365309,0.055277446162593,0.078380016357705,0.261905322488654,0.377381144871174,0,1,74.4229085445404
1657624734.67894,1657624735.22895,0,appropriate,118.326,118.876,0,0,0,0.550008058547974,-9.86019845954522,0.393587936205156,-10.2955229397015,-8.69716988760729,183.251535200653,93.5506754817382,69.1222570532915,553.000642931624,-10.1613024188614,0.06348161660143,-10.3207267809111,-10.0214777232112,-3.65915623607778E-09,0.014274297555677,-0.181660937779975,0.282821204657092,-0.27001683207109,0.014331643636548,0.284060247928937,-0.224695573871981,0.181076324293743,6.60228293346627E-07,0.030717439869852,0.059472060378087,0.084084943730386,0.065877464867446,0.076898730220096,0.12574002482489,0.043734347048046,0.336925794120395,7.92088475320615E-09,0.021855549853409,-0.204417779379078,0.052214948603741,-0.405318758142347,0.1820913010022,0.195163879367933,-0.237448642142995,0.317070363596879,3.38806422900249E-07,0.007974229962438,0.04360896618761,0.082676859733063,0.045759527701243,0.085613020556961,0.065953861826909,0.0553858612062,0.234533854173446,1.3860984310153E-08,1.27005953000689E-08,0.025508480039604,0.020189186131212,-0.181670299810028,-0.199770772217532,0.290356042764197,0.030136493298559,-0.272217733543687,-0.40358808896382,0.021714538500937,0.196380036610476,0.295630195851704,0.235748243686692,-0.234888316943649,-0.240028884943641,0.162215826984529,0.321825172235974,6.18147638469895E-07,2.03557736620859E-07,0.023827421123479,0.007098976620613,0.078284608359741,0.033877082297915,0.077195445995354,0.059297945274831,0.068546381367137,0.009859752162357,0.063661814321073,0.047188851848012,0.102034303788844,0.044980464979131,0.047376221658565,0.02967942754795,0.278686884543697,0.096913283234805,0.881941795349121,1,79.142302274704
