start,end,active,annotation,start_0,end_0,acoustic_jitterLocal_sma3nz_before,acoustic_shimmerLocaldB_sma3nz_before,acoustic_HNRdBACF_sma3nz_before,acoustic_duration,acoustic_energy_mean_before,acoustic_energy_std_before,acoustic_energy_min_before,acoustic_energy_max_before,acoustic_pitch_mean_before,acoustic_pitch_std_before,acoustic_pitch_min_before,acoustic_pitch_max_before,acoustic_energy_mean_after,acoustic_energy_std_after,acoustic_energy_min_after,acoustic_energy_max_after,kinect_spine_x_speaker_before,kinect_spine_y_speaker_before,kinect_left_hand_x_speaker_before,kinect_left_hand_y_speaker_before,kinect_left_hand_z_speaker_before,kinect_right_hand_x_speaker_before,kinect_right_hand_y_speaker_before,kinect_right_hand_z_speaker_before,kinect_head_to_robot_speaker_before,kinect_spine_x_grad_speaker_before,kinect_spine_y_grad_speaker_before,kinect_left_hand_x_grad_speaker_before,kinect_left_hand_y_grad_speaker_before,kinect_left_hand_z_grad_speaker_before,kinect_right_hand_x_grad_speaker_before,kinect_right_hand_y_grad_speaker_before,kinect_right_hand_z_grad_speaker_before,kinect_head_to_robot_grad_speaker_before,kinect_spine_x_listeners_before,kinect_spine_y_listeners_before,kinect_left_hand_x_listeners_before,kinect_left_hand_y_listeners_before,kinect_left_hand_z_listeners_before,kinect_right_hand_x_listeners_before,kinect_right_hand_y_listeners_before,kinect_right_hand_z_listeners_before,kinect_head_to_robot_listeners_before,kinect_spine_x_grad_listeners_before,kinect_spine_y_grad_listeners_before,kinect_left_hand_x_grad_listeners_before,kinect_left_hand_y_grad_listeners_before,kinect_left_hand_z_grad_listeners_before,kinect_right_hand_x_grad_listeners_before,kinect_right_hand_y_grad_listeners_before,kinect_right_hand_z_grad_listeners_before,kinect_head_to_robot_grad_listeners_before,kinect_spine_x_speaker_after,kinect_spine_x_listeners_after,kinect_spine_y_speaker_after,kinect_spine_y_listeners_after,kinect_left_hand_x_speaker_after,kinect_left_hand_x_listeners_after,kinect_left_hand_y_speaker_after,kinect_left_hand_y_listeners_after,kinect_left_hand_z_speaker_after,kinect_left_hand_z_listeners_after,kinect_right_hand_x_speaker_after,kinect_right_hand_x_listeners_after,kinect_right_hand_y_speaker_after,kinect_right_hand_y_listeners_after,kinect_right_hand_z_speaker_after,kinect_right_hand_z_listeners_after,kinect_head_to_robot_speaker_after,kinect_head_to_robot_listeners_after,kinect_spine_x_grad_speaker_after,kinect_spine_x_grad_listeners_after,kinect_spine_y_grad_speaker_after,kinect_spine_y_grad_listeners_after,kinect_left_hand_x_grad_speaker_after,kinect_left_hand_x_grad_listeners_after,kinect_left_hand_y_grad_speaker_after,kinect_left_hand_y_grad_listeners_after,kinect_left_hand_z_grad_speaker_after,kinect_left_hand_z_grad_listeners_after,kinect_right_hand_x_grad_speaker_after,kinect_right_hand_x_grad_listeners_after,kinect_right_hand_y_grad_speaker_after,kinect_right_hand_y_grad_listeners_after,kinect_right_hand_z_grad_speaker_after,kinect_right_hand_z_grad_listeners_after,kinect_head_to_robot_grad_speaker_after,kinect_head_to_robot_grad_listeners_after,duration_pause,next_speaker,amount_speech
1659700511.1677,1659700514.61772,1,not appropriate,10.666,14.116,0.02068217471242,0.47292822599411,2.51642179489136,3.45002102851868,-7.65318018909507,1.96020605184668,-10.3478739613981,-4.09422840265943,271.142666589271,213.921372509301,69.7374437237117,1176.18869157348,-9.14859573496848,1.18323260696207,-10.2674918516068,-6.06728101370495,3.88324489195282E-08,0.016258698439218,-0.133595385656127,0.329295171090636,-0.228631045357134,0.127477518630541,0.332925764302099,-0.197921005953029,0.823884277315318,8.24318788356814E-07,0.020149339873778,0.100131451233105,0.082162298706649,0.047390274661402,0.097074707835799,0.109538561793475,0.056192211595302,0.324987293022172,3.98273743733794E-10,0.021586777204135,-0.084814056259,0.234516294996824,-0.231834675837822,0.013456628909332,0.270740533479888,-0.215021567594762,0.63902170698206,7.50950716624908E-07,0.019838306050559,0.114668347053286,0.092673838209082,0.056278531908746,0.038618174789301,0.060954578218079,0.025962411685365,0.39695558252852,-1.29592135803797E-08,-2.65193405586538E-08,0.023138233064801,0.023415613173701,-0.127201037330527,-0.08840346631741,0.329945815734744,0.255725340072981,-0.196611506081235,-0.224462449040017,0.103223368282388,0.014559549863078,0.357566227327456,0.279424949093732,-0.179717430927409,-0.218404313301502,0.797307037195842,0.651553860960694,1.03940242169174E-06,8.56558253514516E-07,0.019793857093067,0.019559820295189,0.097356538537192,0.149695769253835,0.078146402138602,0.158717790298606,0.041437794542426,0.076061971952149,0.092295060686394,0.090094618419741,0.103475493021836,0.0964435300403,0.066321533351665,0.066334428414524,0.294775024884044,0.531351008389024,1.55935835838318,1,3.45002102851868
1659700516.17708,1659700518.74698,1,not appropriate,15.676,18.246,0.00817661639303,0.241193994879723,1.18222856521606,2.56989407539368,-8.89418910483721,1.349810301431,-10.2647013732848,-5.77057663205197,250.064205699479,301.569103481884,69.1222570532915,1731.31931286004,-9.71853416932004,0.318650213197916,-10.2659808170338,-8.19324787866283,-1.30925531563195E-08,0.02086567104859,-0.115083125004932,0.314294608226044,-0.206946926131781,0.115096499663249,0.340683254144732,-0.187976627981031,0.788354974907299,9.99415220917947E-07,0.014701077632334,0.096095799924262,0.073922275164806,0.057604116334403,0.080193256211433,0.072061764312797,0.044922499954008,0.36403769851316,-4.20277511645464E-08,0.022821773152833,-0.11616980973202,0.22063827053387,-0.23675647792436,0.007890473980595,0.260317338521216,-0.220207614822623,0.68276111426647,7.21119702550171E-07,0.011950067225691,0.051650701929539,0.077554536030005,0.041637167687927,0.05060133607444,0.092518308932868,0.033417460970884,0.382278384400212,-1.06855540759818E-08,-2.48117018472157E-08,0.011601560244757,0.02217388038132,-0.085312901746229,-0.11976467896086,0.273327440037756,0.208070503453635,-0.228916895696605,-0.229161773238639,0.143950047977843,0.015889562963342,0.303607804862834,0.261855037388456,-0.20292378727182,-0.220467605398075,0.849330995774989,0.691040037292004,6.63682248769326E-07,8.61200084164934E-07,0.013539367699052,0.016320561614443,0.094948293555967,0.089730315463826,0.080478877348421,0.073190741839777,0.035387195963444,0.062791102650963,0.08955125512169,0.094919565067962,0.093371824753573,0.092982659843008,0.030781819812023,0.040676889906057,0.426150755357841,0.43697848845001,0.400035858154297,0,6.01991510391235
1659700530.33798,1659700531.09732,1,not appropriate,29.837,30.596,0.001959614222869,0.186014696955681,2.80380725860596,0.759342908859253,-9.41780879433926,1.06452943555253,-10.3046957925308,-6.48041903444122,161.517804448,75.7378200104672,69.1222570532915,418.458033419578,-8.22007277307476,1.36808203982697,-10.3082703902259,-4.56230079553656,-4.41031355521892E-09,0.020282682631627,-0.172808246337242,0.32512848969566,-0.210860827485668,0.109256043128138,0.342684211582589,-0.185296522080922,0.791781368519218,8.11260377673828E-07,0.01884736295235,0.056011785080462,0.066891996429903,0.051739252773812,0.056590677095053,0.076253454666449,0.052142203515973,0.298672952397654,1.09216580009232E-08,0.017597527877879,-0.068303003308344,0.287303052442006,-0.212308975915321,0.014003444337081,0.304967774074974,-0.224159020753143,0.559641545690252,1.17078599793622E-06,0.012281142619971,0.056643491960349,0.078194792378651,0.043827102549129,0.050963082057686,0.07571603490684,0.066817749867365,0.419730877164511,-1.66436717741192E-08,-1.94749249343527E-08,0.018225897383321,0.018444806160305,-0.163864736585855,-0.063305656709156,0.328482658254214,0.280760706430156,-0.222282059450704,-0.211347089521504,0.111573605088956,0.018084751150593,0.339447116555785,0.30325575191467,-0.189118646938358,-0.219025061968551,0.814128498163871,0.642706821329886,6.97870224902308E-07,9.27920676472696E-07,0.015131883116235,0.013751268692663,0.092470671978064,0.057170013427778,0.094776906103946,0.080921315120812,0.053462446001012,0.030532686547829,0.091036676650396,0.032681782342725,0.111545123050639,0.059061362656622,0.0583501696233,0.043858358628519,0.250259531373014,0.483478636030637,0.849919080734253,1,15.8195657730103
1659700531.94724,1659700546.14922,1,appropriate,31.446,45.648,0.003420532448217,0.193914487957954,1.31156384944916,14.2019791603088,-9.24459966419851,0.924606580101034,-10.2027929899731,-6.70008940194442,211.869364304469,243.431863436293,69.1222570532915,2025.10421914505,-10.1425341321429,0.046326048202937,-10.3096812455133,-10.0367227975713,1.12818263405203E-08,0.014160152389685,-0.1624475883164,0.27815929916405,-0.225154725845089,0.140502371704335,0.263712233435271,-0.198993249841033,0.75722546299829,8.50383425385769E-07,0.018070460499888,0.05483745532935,0.065326649943001,0.048115384414419,0.057727942993998,0.070515176475697,0.048746658271867,0.55952679655213,-3.61046854563933E-08,0.020128552066111,-0.070946520640191,0.243647478485295,-0.218853143792803,0.028293698604122,0.285947457000714,-0.221871615906645,0.705412041106374,1.03732447157418E-06,0.010137948497303,0.096121676406872,0.083640771702029,0.034481290513259,0.05017350704536,0.032530623738439,0.033205906577952,0.351783848677088,-6.47773834572263E-10,-1.77022308926162E-08,0.012195197840962,0.018836136151844,-0.160578081112222,-0.07256816696545,0.296638243427354,0.259885721708163,-0.213139152200837,-0.212742436591718,0.140062995951598,0.035363288530422,0.288277585806014,0.300340042625833,-0.175371629213992,-0.216848317481408,0.759465035880911,0.672381556439822,9.76444201039687E-07,9.26568434483503E-07,0.019392645837248,0.015113860807682,0.079078373882527,0.088441855188494,0.074547319034264,0.075076283770563,0.068658812198254,0.057218260333031,0.0709674979378,0.0664074470984,0.061222997624703,0.080815351377308,0.048692263981144,0.046321703292335,0.581692865026648,0.479471720545867,2.37237906455994,-1,30.5929291248322
1659700599.32886,1659700603.4288,1,not appropriate,98.827,102.927,0.003862016834319,0.279728293418884,2.60304498672485,4.09994244575501,-9.46990650068106,1.01606165644145,-10.7001645009328,-6.67103673650821,192.538588890599,91.2079306202857,69.1222570532915,465.402835450475,-9.07053131520916,1.53034064885635,-10.7002615346358,-6.01961890860218,7.21555556522951E-09,0.013803759447441,-0.108838275448294,0.217553417248405,-0.227482394435605,0.061622301230128,0.278837073293876,-0.169786763013176,0.688520201152964,8.55290468753158E-07,0.014569024840943,0.078025240526074,0.067787557329883,0.035473365052732,0.085796124831963,0.099237607392622,0.04424444832893,0.401271821034029,-1.0283448264968E-08,0.018873503064851,-0.078149846853687,0.238275156886444,-0.214984502935908,0.015213016292124,0.267514730942895,-0.213316518387936,0.722210758400751,8.35754962812587E-07,0.014530509580575,0.144536527569918,0.14547374834721,0.077975424576126,0.110551890983063,0.129987264484105,0.057656785329345,0.372086027545734,1.20531535433458E-08,-1.83611164265627E-08,0.015959617421318,0.018178920142895,-0.108092997690678,-0.075678730914662,0.216681206384399,0.281034227091607,-0.22680637983191,-0.220905866319543,0.051735104186029,0.019895631956703,0.287219525716621,0.297837634823535,-0.167057788592555,-0.214513049144124,0.616937040599717,0.59193434724656,1.0420535195785E-06,1.07863233955451E-06,0.009108728420144,0.014026342666494,0.081535841417559,0.148400318366941,0.084731873654789,0.160872944391967,0.033156143940783,0.097752999515818,0.046599675426396,0.041004072558776,0.067385769331793,0.072425725099428,0.051271434088891,0.0520178132757,0.294707200646042,0.414312978886683,1.08005023002625,1,68.637934923172
1659700604.50886,1659700608.41889,1,not appropriate,104.007,107.917,0.002967906184495,0.269490987062454,1.27395153045654,3.91003441810608,-9.32656250906082,1.29144987623469,-10.3978315582723,-5.86957386657933,165.535941100503,138.896950086314,69.1222570532915,1021.32787645988,-6.18641281824753,1.94274648010976,-10.115475261457,-1.6300852667774,1.27715780603551E-10,0.008970752142563,-0.094005988662065,0.215559994581708,-0.227027772487784,0.070691575596324,0.264088177223209,-0.171747702327069,0.674097853878921,7.44471481174772E-07,0.023903507341591,0.084244027631577,0.095543283956431,0.05841849261315,0.075530223048855,0.093706563504088,0.053605745864367,0.451603933881096,1.15751375008264E-08,0.017400362105919,-0.075886800503968,0.262170764553428,-0.216684476935129,0.024079795630875,0.289711509966906,-0.212727042382436,0.634967193167937,1.1151754235545E-06,0.016197978216006,0.096188902158517,0.132959037147452,0.069542748975018,0.064457061398176,0.079489251828985,0.04912177771209,0.650778888798079,1.74178153477372E-08,-1.75035778201298E-08,0.022359315743181,0.012648165168005,-0.095251533700786,-0.077873318662243,0.271672324897597,0.250532797774119,-0.186067328310583,-0.220171643370683,0.100143517399941,0.025457779955562,0.301935482979291,0.290697328366439,-0.11868485964188,-0.214899205701568,0.792561873162689,0.721603174797042,8.23817289165381E-07,7.60373682384722E-07,0.012669382073213,0.031353834807867,0.109245395230571,0.126528147427847,0.184759677287034,0.094439423161538,0.118585269037514,0.090924172969857,0.220804747028301,0.050552188691928,0.179394831277301,0.087596940771944,0.226998332842094,0.047706958772286,0.414989818226328,0.543523296257203,0,0,72.5479693412781
1659700609.34958,1659700612.74377,1,not appropriate,108.848,112.242,0.009736903943121,0.506130695343018,2.41086220741272,3.39419460296631,-7.14491260719421,1.78370111677198,-10.0746973445047,-1.75261769201669,334.304818789756,211.818967681799,81.307523252007,1284.25223277095,-8.83757406700655,0.878524447642854,-10.2548658005962,-6.35572582317671,2.13852100615677E-08,0.026331705259088,-0.087896340553023,0.27332532754912,-0.19184531648391,0.196881386596427,0.222603912154444,-0.192361220506305,0.964240922462371,8.83835765979137E-07,0.012896645399096,0.123581862990829,0.074441423604665,0.033098706757645,0.099407705285923,0.11271007589114,0.0366121139099,0.307540125028781,5.48209318370737E-08,0.012813611106438,-0.065693465236659,0.300132511791435,-0.202780954767716,0.031810584598408,0.322056349846423,-0.203021279024881,0.515216464994539,8.40952374578354E-07,0.012653550936193,0.078388503106106,0.094923568435646,0.074909928823128,0.042666048882675,0.070256476389353,0.047038827408971,0.516474851839384,-3.58232321226359E-09,-7.11507635604712E-09,0.021396110991661,0.012805042172681,-0.0786999673926,-0.080361888881408,0.294549761799612,0.280926667442798,-0.193482623371725,-0.211170533552297,0.154403314183641,0.046163572195486,0.231177033943336,0.31508479030636,-0.190888415806284,-0.207046682111191,0.917569049558465,0.803688475138715,1.15122489925122E-06,7.89386590859855E-07,0.013061543234285,0.017722695042813,0.072376159244452,0.080371108133832,0.055003469837296,0.08472404180118,0.028636372578642,0.089998647539354,0.113107262133421,0.043607752252058,0.120410239675459,0.078805481606762,0.031210333089001,0.082596434157557,0.284445129666434,0.811975695713929,0,0,78.3851053714752
1659700619.26003,1659700619.89012,1,appropriate,118.759,119.389,0.006384784821421,0.543439149856567,4.20639562606812,0.630089521408081,-9.62700623860207,0.857009267932269,-10.3885372150819,-6.6839776470763,174.329519116966,119.696728901145,69.1222570532915,614.886702418706,-9.38755020829574,0.768666176577334,-10.2509802758292,-7.05416270385752,-1.11094575116327E-09,0.015601313105855,-0.057835647676081,0.289239826365537,-0.188838595313744,0.188388104743597,0.224477887890924,-0.190968352187803,0.768003587481623,7.02167273460092E-07,0.012310965600647,0.070683143774478,0.043361338987868,0.037914087371796,0.067030679207272,0.080874929524905,0.030292565054853,0.372781953388116,-2.53903693124155E-08,0.013079605984143,-0.072515405236388,0.280573612054979,-0.206249128205002,0.029575612760754,0.307891658262945,-0.206962909866227,0.569946486567536,7.69920797464839E-07,0.024821154101578,0.103247899133778,0.10152039413137,0.083475693353074,0.068597612385021,0.079742196808925,0.067138586567542,0.725353239289745,3.33362645301991E-08,1.42172714031715E-08,0.021785008909251,0.014759513551533,-0.048747314221598,-0.06090514303584,0.289145695233385,0.288789035877291,-0.178326977285406,-0.208077382572965,0.172154366014145,0.040052782876351,0.214501834540949,0.308236822826862,-0.185249927239501,-0.219550165313049,0.73957828533386,0.569420433872538,7.04033283874293E-07,1.1654913679218E-06,0.02280599301825,0.01715130522695,0.072537950207681,0.121596623973188,0.067085959651653,0.132973534337754,0.042080967035171,0.054976956917764,0.05586779195365,0.07567733176549,0.084863792290994,0.079746632133872,0.02431029742524,0.053925867116943,0.385954677216655,0.615790265459434,0,-1,83.1713321208954
1659700670.46018,1659700674.21028,1,appropriate,169.959,173.709,0.004110414534807,0.263516873121262,2.02223038673401,3.7500946521759,-9.22497929017472,1.13162996516117,-10.3269106607118,-6.85520357615674,202.234183761627,269.001961504422,69.1222570532915,2205,-10.226936323865,0.048810939545415,-10.3734495283159,-10.1063575586596,1.30170909821757E-08,0.017854313146099,-0.116100242228927,0.278313995556051,-0.241971998094096,0.198503282136641,0.328788272980601,-0.120417865440203,0.846836699038166,7.72012057605759E-07,0.019572534380114,0.099828891657301,0.068599130848682,0.044246643350813,0.205164204343697,0.111757516138407,0.08156949957599,0.342739900813565,2.98941211784864E-08,0.011768728899921,-0.05863127686305,0.306458250198609,-0.202972984851487,0.041951481428899,0.339600825392054,-0.19494967689452,0.626042415505921,1.21918999490666E-06,0.020928772419737,0.160924276949082,0.201290700277673,0.194658137140084,0.049748845933237,0.116578127371413,0.08738790901151,0.604378058829157,-3.35707017167087E-08,2.03460616096931E-09,0.011099652651583,0.010475846650515,-0.145228226803217,-0.061896089933515,0.273235478073071,0.292874659409277,-0.231088566418587,-0.194037517797332,0.124780339808278,0.040047708614113,0.28404441109741,0.334170614921252,-0.183993121735607,-0.208487553458926,0.695181822041936,0.821084202742367,7.79839247259911E-07,1.05932799655248E-06,0.00900076131763,0.022440454706349,0.054434960385403,0.09182401491179,0.050723215497572,0.100075786406926,0.042148004652527,0.056502191666732,0.056453974895196,0.095946727307587,0.046276570011174,0.082084741969665,0.036829032261274,0.075534852767077,0.41194868801434,0.706476155241753,2.49335956573486,-1,37.8085777759552
1659700682.66046,1659700683.46048,1,not appropriate,182.159,182.959,0.005437350366265,0.264736026525497,5.85806131362915,0.800017356872559,-9.2393091781043,0.93694515393351,-10.2501374957269,-6.81182364124575,187.295656641944,89.8529630250939,69.1222570532915,411.422893829451,-10.108358196659,0.255060087410764,-10.3667717069409,-8.91513690777578,-2.69057726779324E-08,0.009043438956843,-0.079876275167579,0.128691455854732,0.052785036572779,0.215790747358751,0.121670548527657,-0.206398855528189,0.685324652891233,7.7609399465315E-07,0.024938595743238,0.101078015799141,0.130077881371933,0.098478784110514,0.059137213520292,0.100885378066235,0.047345807372231,0.539302569031228,1.54094102209417E-08,0.004799602816468,-0.083390067151925,0.27669782088527,-0.208880653948847,0.015820847503701,0.306603954234617,-0.217280375110683,0.672518986601474,8.7406124177053E-07,0.022039924825027,0.05383679344478,0.081084977901998,0.049478060092593,0.048874222092224,0.066882727795262,0.053779649529381,0.567576642386754,1.99327728516378E-08,-1.69865402604101E-08,0.011862074134125,0.011794433869552,-0.06144062608493,-0.073823612297473,0.123892927997413,0.27310309935866,0.027472019743174,-0.202359757205644,0.219690479726872,0.019725805407074,0.08609619882058,0.307339807945647,-0.204898543696422,-0.207398798256317,0.664060091184603,0.669267263257744,9.89248121930017E-07,1.13003069251936E-06,0.016425792728582,0.027450421962053,0.077637698405084,0.067385076653588,0.049287483114308,0.087153290399789,0.070848959514046,0.032889994992006,0.061061596804465,0.07912986685165,0.111433595252697,0.051261035662019,0.025788890179714,0.045495653129896,0.48729431679838,0.491373656725836,0,0,38.8086006641388
